"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Verificación en Alloy de modelos y metamodelos específicos del dominio","https://scispace.com/paper/verificacion-en-alloy-de-modelos-y-metamodelos-especificos-1njfm2sj4n","2016","","","Ana Gabriela Garis
Alejandro Sanchez","","https://scispace.com/pdf/verificacion-en-alloy-de-modelos-y-metamodelos-especificos-1njfm2sj4n.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to formally verify DSL models and metamodels, demonstrating a constraint‑solving approach, but lacks any trust‑framework, credential schema, OCL, graph or DL components.","La verificación de modelos de sistemas de software es una actividad clave para mejorar la calidad del producto final. Numerosos lenguajes específicos del dominio han sido creados para favorecer la definición de modelos ajustados a un dominio o área particular. Sin embargo, la verificación de estos modelos, frecuentemente es dejada de lado como actividad complementaria al modelado. Esta línea de investigación, desarrollo e innovación se orienta a generalizar un mecanismo basado en Alloy, para la especificación y verificación de modelos y metamodelos específicos del dominio. Alloy es un lenguaje formal, soportado por una amigable herramienta de verificación y validación. Las características de Alloy pueden ser aprovechadas para establecer un enfoque que permita garantizar la calidad de los modelos de sistemas de software específicos."
"Formal Verification of OAuth 2.0 Using Alloy Framework","https://scispace.com/paper/formal-verification-of-oauth-2-0-using-alloy-framework-44a88cteqg","2011","Proceedings Article","International Conference on Communication Systems and Network Technologies","Suhas Pai
Yash Sharma
Sunil Kumar
Radhika M. Pai
Sanjay Singh","10.1109/CSNT.2011.141","","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and verify OAuth protocol, showing formal verification; does not address credential schema consistency, OCL/graph constraints, or Description Logic.","Over the past few years, the paradigm of social networking has grown to such a degree that social networking websites have evolved into full-fledged platforms, catering to a wide range of consumer interests. The near-ubiquity of Internet access has facilitated the proliferation of users that indulge in social networking. However, this wide spread usage of the Internet and social networking in particular brings with it the need to design and implement a plethora of security enhancing and privacy preserving protocols and standards. Several protocols and security mechanisms have been proposed to ensure primary security features such as confidentiality, integrity, authenticity and non repudiation. However, ensuring the correctness of these protocols is crucial in ensuring user confidence in system security. Therefore, these protocols need to be verified in some formal sense that involves an exhaustive examination of the protocol flow and its state transitions. In this paper, we formalize OAuth, an authentication standard which has found wide acceptance in the Internet community. We formalize the protocol using a method called knowledge flow analysis, using the Alloy modeling language for specification and the Alloy Analyzer for verification. We show how the Alloy Analyzer successfully discovers the known security vulnerability in OAuth."
"OCL-Lite: Finite reasoning on UML/OCL conceptual schemas","https://scispace.com/paper/ocl-lite-finite-reasoning-on-uml-ocl-conceptual-schemas-23xsvo84ec","2012","Journal Article","Data and Knowledge Engineering","Anna Queralt
Alessandro Artale
Diego Calvanese
Ernest Teniente","10.1016/J.DATAK.2011.09.004","","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OCL fragment for finite reasoning on UML schemas; leverages Description Logics for decidable analysis; provides a formal, terminating, complete verification method, but does not address trust frameworks, credential schemas, or Alloy modeling.","To ensure the quality of an information system we must guarantee the correctness of the conceptual schema that represents the knowledge about its domain. The high expressivity of UML schemas annotated with textual OCL constraints enforces the need for automated reasoning techniques. These techniques should be both terminating and complete to be effectively used in practice. In this paper we identify an expressive fragment of the OCL language that ensures these properties. In this way, we overcome the limitations of current techniques when reasoning on such a fragment. As a consequence, we also have that Description Logics can be appropriately used to reason on UML conceptual schemas with arbitrary OCL constraints. We also show how current tools based on different approaches can be used to reason on conceptual schemas enriched with (a decidable fragment of) OCL constraints."
"Formalization of web security patterns","https://scispace.com/paper/formalization-of-web-security-patterns-4ui5mxsysm","2015","Journal Article","INFOCOMP Journal of Computer Science","Ashish Kumar Dwivedi
Santanu Kumar Rath","10.18760/IC.14120152","https://scispace.com/pdf/formalization-of-web-security-patterns-4ui5mxsysm.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and verify security patterns, providing a formal, model‑checking based analysis. Does not address credential schemas, OCL/DL constraints, or trust‑framework consistency.","Security issues in software industries become more and more challenging due to malicious attacks and as a result, it leads to exploration of various security holes in software system. In order to secure the information assets associated with any software system, organizations plan to design the system based on a number of security patterns, useful to build and test new security mechanisms. These patterns are nothing but certain design guidelines. But they have certain limitations in terms of consistency and usability. Hence, these security patterns may sometimes act as insecure. In this study, an attempt has been made to compose security patterns for the web-based application. Subsequently, a formal modeling approach for the composition of security patterns is presented. In order to maximize comprehensibility, Unified Modeling Language (UML) notations are used to represent structural and behavioral aspects of a web-based system. A formal modeling language i.e., Alloy has been taken into consideration for analyzing web-based security pattens. For the demonstration of this approach, a case study i.e., an online banking system is considered. A qualitative evaluation is performed for the identified security patterns against the critical security properties. In this study a model-driven framework is presented, which helps to automate the process of analyzing web security patterns."
"Formal approaches to requirements engineering: from behavior trees to alloy","https://scispace.com/paper/formal-approaches-to-requirements-engineering-from-behavior-4yi5jngjfu","2005","Proceedings Article","Canadian Conference on Electrical and Computer Engineering","W. Itani
L. Logrippo","10.1109/CCECE.2005.1557126","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to formalize and analyze behavior tree models, providing a rigorous consistency check; however, it does not address credential schemas, trust frameworks, OCL, graph constraints, or Description Logic.","Requirements modeling is receiving a good deal of attention from the software engineering community. However, the lack of formal representation and tool support is hindering the power of many promising requirements modeling approaches. Behavior trees are no exception. This graphical approach to requirements engineering advocates building a software system from its set of requirements, rather than building a system that satisfies its requirements. In this paper, we present an approach to formalize and analyze behavior tree models using the alloy constraint language, which is based on first order logic and set theory. The defined semantics interpretations of behavior trees provide a precise and rigorous formal basis for checking the consistency, completeness, and soundness of system requirements"
"Checking and reasoning about semantic Web through Alloy","https://scispace.com/paper/checking-and-reasoning-about-semantic-web-through-alloy-2e7emj2pi2","2003","Journal Article","Lecture Notes in Computer Science","Jin Song Dong
Jing Sun
Hai H. Wang","","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and automatically check ontology consistency; applies DL‑based DAML+OIL semantics, but does not address credential schemas, OCL, or trust frameworks.","Semantic Web (SW), commonly regarded as the next generation of the Web, is an emerging vision of the new Web from the Knowledge Representation and the Web communities The Formal Methods community can also play an important role to contribute to SW development Reasoning and consistency checking can be useful at many stages during the design, maintenance and deployment of SW ontology However the existing reasoning and consistency checking tools for SW are primitive We believe that formal techniques and tools, such as Alloy, can provide automatic reasoning and consistency checking services for SW In this paper, we firstly construct semantic models for the SW language (DAML+OIL) in Alloy, and these models form the semantic domain for interpreting DAML+OIL in Alloy Then we develop the translation techniques and tools which can automatically map the SW ontology into the DAML+OIL semantic domain in Alloy Furthermore, with the assistance of Alloy Analyzer (AA) we demonstrate that the consistency of the SW ontology can be checked automatically and different kinds of reasoning tasks can be supported"
"On design of data consistency verification","https://scispace.com/paper/on-design-of-data-consistency-verification-27kxxfmpus","2016","Proceedings Article","International Conference on Mechatronics - Mechatronika","Radek Marik","","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and verify data consistency rules; formal model‑checking focus, but does not address credential schemas, OCL/DL, or trust frameworks.","We pose a problem with the aim to design a complete set of data consistency checking rules. The context domain is assumed to be a set of entities characterized by property values and a set of relations among entities. The source data, called observations, are assumed to be fused into a network of entities, further referred to as the network model. Using the bounded model checker Alloy, we focus on a practical design of a set of all consistency rules that are sufficient to ensure that the result network model is consistent."
"Towards user-friendly and efficient analysis with alloy","https://scispace.com/paper/towards-user-friendly-and-efficient-analysis-with-alloy-5cqd0wixpn","2015","","","Xiaoliang Wang
Adrian Rutle
Yngve Lamo","","https://scispace.com/pdf/towards-user-friendly-and-efficient-analysis-with-alloy-5cqd0wixpn.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy for bounded verification of graph constraints, providing a formal, constraint‑solving approach. No focus on credential schemas, trust frameworks, or Description Logic.","In model-driven engineering, structural models represent software at the early phases of software development. They are assumed to generate the models in subsequent phases which finally result in software. Thus, it is important to make sure these models are correct w.r.t. different concerns, e.g., consistency, or lack of redundant constraints. In this paper, we present a bounded verification approach using Alloy and integrate it into a graphical modelling tool. The graphical models and the properties to be verified are automatically transformed to Alloy specifications, which are examined by the Alloy Analyzer to verify whether the models satisfy the properties. The verification results are presented as feedbacks in the modelling tool. In this way, a model designer can verify models without knowing the underlying verification techniques and receive user-friendly feedbacks. A challenge in the verification approach is scalability. To tackle this, we present a technique for splitting models into submodels according to their constraints and the properties to be verified. A submodel is left-total if each of its instances can be extended to an instance of the whole model by adding elements typed by the elements that are not in the submodel. The verification of a model is then reduced to the verification of its left-total submodels. We will demonstrate the approach by a running example and we present an experimental result to show that the splitting technique may alleviate the scalability problem."
"Formal Model-Based Traceability for Security Compliance in Satellite Control Systems","https://scispace.com/paper/j8TzmxuwU30J","","","","S Gjorcheski
J Jaskolka","","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and verify security compliance of satellite control systems, but does not address credential schemas, OCL/DL constraints, or trust frameworks.",""
"Validation of policy integration using alloy","https://scispace.com/paper/validation-of-policy-integration-using-alloy-1a61lktftk","2005","Journal Article","Lecture Notes in Computer Science","Manachai Toahchoodee
Indrakshi Ray","","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and automatically verify integrated security policies, providing a formal verification approach, but does not address credential schemas, OCL/DL constraints, or trust frameworks.","Organizations typically have multiple security policies operating together in the same system. The integration of multiple policies might be needed to achieve the desired security requirements. Validating this integrated policy is a non-trivial process. This paper addresses the problem of composing, modeling and validating the security policies. We show how the various approaches for composing security policies can be modeled and verified using Alloy, a lightweight modeling system with automatic semantic analysis capability."
"Maintien de la cohérence entre les architectures pour une gestion autonomique de systèmes pervasifs","https://scispace.com/paper/maintien-de-la-coherence-entre-les-architectures-pour-une-187kc739p1","2015","","","Stephanie Chollet
Philippe Lalanda
Catherine Hamon","","https://scispace.com/pdf/maintien-de-la-coherence-entre-les-architectures-pour-une-187kc739p1.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OCL constraints to verify model consistency; formal verification of architectural models, but no Alloy, DL, or credential‑trust framework focus.","L’informatique orientee service est devenue tres populaire ces dernieres annees, en particulier pour traiter des environnements dynamiques et imprevisibles Cependant, cette nouvelle approche souleve de serieux problemes au niveau de l’administration et de la maintenance des systemes Dans cet article, nous developpons une proposition ou les architectures logicielles de conception et d’execution sont utilisees pour gerer les systemes orientes service et pour aider les administrateurs a suivre et comprendre les evolutions a l’execution Nous montrons comment des concepts lies a la conception et a l’execution peuvent etre lies et exploites par un gestionnaire autonomique ou par un administrateur humain Cette approche est validee sur un cas d’utilisation issu du domaine de la sante pervasive et developpe avec Orange Labs"
"Verification and Validation of UML Conceptual Schemas with OCL Constraints","https://scispace.com/paper/verification-and-validation-of-uml-conceptual-schemas-with-30oe4z7dhz","2012","Journal Article","ACM Transactions on Software Engineering and Methodology","Anna Queralt
Ernest Teniente","10.1145/2089116.2089123","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OCL to verify UML conceptual schemas, providing a formal verification method, but does not address credential schemas, trust frameworks, Alloy, or Description Logic.","To ensure the quality of an information system, it is essential that the conceptual schema that represents the knowledge about its domain is semantically correct. The semantic correctness of a conceptual schema can be seen from two different perspectives. On the one hand, from the point of view of its definition, a conceptual schema must be right. This is ensured by means of verification techniques that check whether the schema satisfies several correctness properties. On the other hand, from the point of view of the requirements that the information system should satisfy, a schema must also be the right one. This is ensured by means of validation techniques, which help the designer understand the exact meaning of a schema and to see whether it corresponds to the requirements. In this article we propose an approach to verify and validate UML conceptual schemas, with arbitrary constraints formalized in OCL. We have also implemented our approach to show its feasibility."
"Assuring the security of software architecture using argument models: patterns, templates, and tool support","https://scispace.com/paper/fkBdw0kKYv4J","","","","M Zeroual","","https://theses.hal.science/tel-05457149/document","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OCL plug‑in for semantic verification, providing a formal verification workflow; however, it does not address credential schema consistency, trust frameworks, Alloy modeling, or Description Logic.",""
"Formal validation of domain-specific languages with derived features and well-formedness constraints","https://scispace.com/paper/formal-validation-of-domain-specific-languages-with-derived-2mll6xudnj","2017","Journal Article","Software and Systems Modeling","Oszkár Semeráth
Ágnes Barta
Ákos Horváth
Zoltán Szatmári
Dániel Varró","10.1007/S10270-015-0485-X","https://scispace.com/pdf/formal-validation-of-domain-specific-languages-with-derived-2mll6xudnj.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OCL invariants and graph patterns to transform DSL well‑formedness rules into FOL for verification; employs a formal, logic‑based approach. No Alloy, DL, or trust‑framework credential schemas are addressed.","Despite the wide range of existing tool support, constructing a design environment for a complex domain-specific language (DSL) is still a tedious task as the large number of derived features and well-formedness constraints complementing the domain metamodel necessitate special handling. Such derived features and constraints are frequently defined by declarative techniques (such graph patterns or OCL invariants). However, for complex domains, derived features and constraints can easily be formalized incorrectly resulting in inconsistent, incomplete or ambiguous DSL specifications. To detect such issues, we propose an automated mapping of EMF metamodels enriched with derived features and well-formedness constraints captured as graph queries in EMF-IncQuery or (a subset of) OCL invariants into an effectively propositional fragment of first-order logic which can be efficiently analyzed by back-end reasoners. On the conceptual level, the main added value of our encoding is (1) to transform graph patterns of the EMF-IncQuery framework into FOL and (2) to introduce approximations for complex language features (e.g., transitive closure or multiplicities) which are not expressible in FOL. On the practical level, we identify and address relevant challenges and scenarios for systematically validating DSL specifications. Our approach is supported by a tool, and it will be illustrated on analyzing a DSL in the avionics domain. We also present initial performance experiments for the validation using Z3 and Alloy as back-end reasoners."
"Efficient Verification-Driven Slicing of UML/OCL Class Diagrams","https://scispace.com/paper/efficient-verification-driven-slicing-of-uml-ocl-class-3vu30ak0zr","2016","Journal Article","International Journal of Advanced Computer Science and Applications","Asadullah Shaikh
Uffe Kock Wiil","10.14569/IJACSA.2016.070571","https://scispace.com/pdf/efficient-verification-driven-slicing-of-uml-ocl-class-3vu30ak0zr.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OCL constraints to verify class‑diagram consistency; employs a formal slicing and satisfiability checking workflow, but lacks Alloy, DL, or trust‑framework context.","Model defects are a significant concern in the Model-Driven Development (MDD) paradigm, as model trans-formations and code generation may propagate errors present in the model to other notations where they are harder to detect and trace. Formal verification techniques can check the correctness of a model, but their high computational complexity can limit their scalability.
Current approaches to this problem have an exponential worst-case run time. In this paper, we propose a slicing technique which breaks a model into several independent submodels from which irrelevant information can be abstracted to improve the scalability of the verification process. We consider a specific static model (UML class diagrams annotated with unrestricted OCL constraints) and a specific property to verify (satisfiability, i.e., whether it is possible to create objects without violating any constraints). The definition of the slicing procedure ensures that the property under verification is preserved after partitioning. Furthermore, the paper provides an evaluation of experimental results from a real-world case study."
"Matching Expectations in Ensembles: Connecting Verifiable Credentials and the Semantic Web","https://scispace.com/paper/matching-expectations-in-ensembles-connecting-verifiable-1868w0son3jc","","Journal Article","","Jan Sürmeli
Sergen Yilmaz","10.1007/978-3-031-75107-3_10","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SROIQ description logic to check ontology consistency, aligning with DL component and formal verification focus; lacks Alloy, OCL, or graph constraints, and only loosely ties to credential schema trust frameworks.",""
"An Ontology-Based Approach to Validation of E-Services under Static and Dynamic Constraints","https://scispace.com/paper/an-ontology-based-approach-to-validation-of-e-services-under-2ubwkwfst3","2008","Book Chapter","","Luigi Dragone","10.1007/978-3-540-88871-0_13","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Description Logics and decidable FOL fragment to verify static/dynamic constraints; no Alloy, OCL, or credential‑schema trust framework focus.","In this paper we present an enhanced approach to cope with consistency and validation issues arising in Service-Oriented Integration design using an expressive logic language. This approach goes beyond the traditional ones, which are focused on the simple consistency of a structural specification. Indeed, it is able to keep into account both static and dynamic constraints: while the former type applies to system states, the latter concerns the system state transitions.

The present solution is oriented towards the analysis of dynamic features as e-services of a system described using a rich ontology specification based on Description Logics. The aim of such a solution is to provide the architect, at the design phase, with adequate support tools to check both the consistency of static and dynamic artifacts. It relies on the IOPE (Input, Output, Preconditions, and Effects) paradigm to specify operation semantics, and on a decidable fragment of the First-Order Logic in order to provide a reasoning-based tool able to verify various semantic properties."
