"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"A Tour of Language Customization Concepts","https://scispace.com/paper/a-tour-of-language-customization-concepts-1u9wgxh2gg","2007","Book Chapter","Advances in Computers","Colin Atkinson
Thomas Kühne","10.1016/S0065-2458(06)70003-1","https://scispace.com/pdf/a-tour-of-language-customization-concepts-1u9wgxh2gg.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses potency‑based deep instantiation to unify type/instance facets; authored by Atkinson and Kühne, but lacks governance focus, applications, formal semantics, tools, or evaluation.","Although the UML is often perceived as a universal modeling language it was not designed to fulfill this goal. Rather, the primary goal of the designers was to provide a unified modeling language. Because the applicability of the core language is limited, the UML has always offered mechanisms to enable it to be adapted to the needs of different users and applications. Over the years, a wide variety of different language customization mechanisms have been proposed, ranging from stereotypes, profiles, and metamodeling to domain-specific languages. However, the relationships between these different approaches and the different capabilities and options that they provide to users have never been clearly elaborated. In this chapter we provide a tour of the most important language customization mechanisms and by means of a unified case study we compare and contrast their pros and cons. We also review the current “state of the art” and present our view of how the “domain-customized language” approach to software engineering can best be supported in the future."
"Profiles in a strict metamodeling framework","https://scispace.com/paper/profiles-in-a-strict-metamodeling-framework-2cudvqlwjp","2002","Journal Article","Science of Computer Programming","Colin Atkinson
Thomas Kühne","10.1016/S0167-6423(02)00029-1","https://www.sciencedirect.com/science/article/pii/S0167642302000291/pdf?md5=93f985f4a334d58e1df81900456b29fa&pid=1-s2.0-S0167642302000291-main.pdf&_valck=1","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses potency‑based, deep instantiation concepts; no governance or regulatory content; does not apply to governance problems; authored by Atkinson and Kühne, extending their own framework.",""
"Melanie: Multi-level modeling and ontology engineering environment","https://scispace.com/paper/melanie-multi-level-modeling-and-ontology-engineering-8ajawrs9l1","2012","Proceedings Article","","Colin Atkinson
Ralph Gerbig","10.1145/2448076.2448083","https://dl.acm.org/doi/pdf/10.1145/2448076.2448083","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses deep instantiation and multi‑level modeling; provides the Melanie tool; authored by Atkinson, but lacks governance focus, application to compliance, formal semantics, empirical data, or comparative studies.","Multi-level modeling based on deep instantiation has attracted growing interest over the last few years as a better way of creating and organizing models capturing problem domains featuring more than one classification level. However, until recently the approach has lacked practical tool support. This work introduces Melanie, a new MultiLevel Modeling and Ontology Engineering Environment, that has been specifically developed to support multi-level modeling as well as other important new modeling use cases such as unified exploratory / constructive modeling, symbiotic domain-specific / general purpose languages and interactive (meta)modeling. This work briefly explains the motivations and goals behind Melanie and provides a short overview of its features and architecture."
"A deep perspective on the archimate enterprise architecture modeling language","https://scispace.com/paper/a-deep-perspective-on-the-archimate-enterprise-architecture-3nly15g7na","2020","","","Colin Atkinson
Thomas Kühne","10.18417/EMISA.15.2","https://emisa-journal.org/emisa/article/view/148/164","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses deep modeling to enhance ArchiMate; authored by Atkinson/Kühne; lacks governance focus, application to compliance, formal semantics, tooling, or empirical validation.","Given the scale, complexity and variety of enterprise architectures, approaches for modeling them need to be as simple and flexible as possible in order to minimize the accidental complexity within enterprise architecture models. Multi-level modeling techniques offer an effective way of achieving this but to date there has been little research into how they could contribute to enterprise architecture modeling. In this article we therefore explore how the former could be best leveraged within the latter by considering the modeling goals, architecture and principles of one of the most concrete and widely used enterprise architecture modeling standards: ArchiMate. More specifically, we discuss how the conceptual integrity of the ArchiMate standard and modeling experience could be enhanced using multi-level modeling principles. In our discussions, we focus on a specific variant of multi-level modeling, called deep modeling, which is based on the notions of orthogonal classification and deep instantiation."
"A unifying approach to connections for multi-level modeling","https://scispace.com/paper/a-unifying-approach-to-connections-for-multi-level-modeling-3vtlgzkrtk","2015","Proceedings Article","Model Driven Engineering Languages and Systems","Colin Atkinson
Ralph Gerbig
Thomas Kühne","10.1109/MODELS.2015.7338252","http://homepages.ecs.vuw.ac.nz/~tk/publications/papers/deep-connections.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Authored by Atkinson and Kühne, proposes unified connection model for multi‑level modeling with deep characterization, but lacks governance focus, concrete applications, tools, or formal semantics.","Capturing relationships between concepts in a domain is as important as capturing the concepts themselves. Modeling languages reflect this by providing connections with rich semantics, such as associations and links, thus providing a key advantage over approaches that support relationships with simple references only. While connections for two-level modeling (e.g. in the UML) have enjoyed a stable design for a considerable time, the same cannot be said for connections in multi-level modeling languages. As interest in multi-level modeling grows, it is important to provide a comprehensive design for connections that not only adheres to multi-level principles such as level-agnosticism and explicit level organization, but also supports deep characterization, i.e., the ability to specify level content beyond one level boundary. In this paper we propose a unifying conceptual model for connections whose expressiveness and scalability does not come at the cost of concept proliferation."
"In defence of deep modelling","https://scispace.com/paper/in-defence-of-deep-modelling-106oxo9v16","2015","Journal Article","Information & Software Technology","Colin Atkinson
Thomas Kühne","10.1016/J.INFSOF.2015.03.010","https://openaccess.wgtn.ac.nz/articles/journal_contribution/In_defence_of_deep_modelling/13224776/files/25467566.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Defends deep modelling foundations and directly involves Atkinson, but lacks governance focus, practical application, formal semantics, tooling, or empirical validation; only loosely compares alternatives.","We refute claims of unsoundness and inconsistency levelled at deep modelling.Most of these claims are based on premises that do not apply to deep modelling.Others assume a different philosophy with no discernible advantages for modelling.Deep modelling foundations are supported by classic works in linguistics.The proposed alternative modelling framework introduces new pragmatic problems for modellers. ContextSince multi-level modelling emerged as a strategy for leveraging classification levels in conceptual models, there have been discussions about what it entails and how best to support it. Recently, some authors have claimed that the deep modelling approach to multi-level modelling entails paradoxes and significant weaknesses. By drawing upon concepts from speech act theory and foundational ontologies these authors argue that hitherto accepted principles for deep modelling should be abandoned and an alternative approach be adopted instead (Eriksson et al., 2013). ObjectiveWe investigate the validity of these claims and motivate the need to shift the focus of the debate from philosophical arguments to modelling pragmatics. MethodWe present each of the main objections raised against deep modelling in turn, classify them according to the kinds of arguments put forward, and analyse the cogency of the supporting justification. We furthermore analyse the counter proposal regarding its pragmatic value for modellers. ResultsMost of the criticisms against deep modelling are based on mismatches between the premisses used in published definitions of deep modelling and those used by the authors as the basis of their challenges. Hence, most of the criticisms levelled at deep modelling do not actually apply to deep modelling as defined in the literature. We also explain how the proposed alternative introduces new problems of its own, and evaluate its merits from a pragmatic modelling perspective. Finally, we show how deep modelling is indeed compatible with, and can be founded on, classic work in linguistics and logic. ConclusionsThe inappropriate interpretations of the core principles of deep modelling identified in this article indicate that previous descriptions of them have not had sufficient clarity. We therefore provide further clarification and foundational background material to reduce the chance for future misunderstandings and help establish deep modelling as a solid foundation for multi-level modelling."
"On evaluating multi-level modeling","https://scispace.com/paper/on-evaluating-multi-level-modeling-272xtz33hc","2017","","","Colin Atkinson
Thomas Kühne","","https://openaccess.wgtn.ac.nz/articles/conference_contribution/On_evaluating_multi-level_modeling/13224761/files/25467548.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Authors Atkinson and Kühne frame the discussion around their own multi‑level modeling work; discusses potency and deep instantiation concepts; offers a comparative overview of existing evaluations.","Multi-Level Modeling is receiving increasing levels of interest and its active research community is continuing to make progress. However, to advance the discipline effectively it is necessary to increase industry adoption and achieve better community cohesion. We believe that the key to addressing both these challenges is to promote the creation of more comparisons in the multi-level modeling field based on meaningful objective evaluations. In this position paper, we provide our view on what constitutes meaningful evaluations and discuss some of the issues involved in obtaining them, while presenting a broad overview of existing multi-level modeling evaluations. In particular, we emphasize the importance of understanding and managing the difference between internal and external qualities."
"Utilizing multi-level concepts for multi-phase modeling","https://scispace.com/paper/utilizing-multi-level-concepts-for-multi-phase-modeling-1me74o7f","2022","Journal Article","Software and Systems Modeling","Tobias Franz
Christoph Seidl
Philipp Fischer
Andreas Gerndt","10.1007/s10270-021-00963-1","https://scispace.com/pdf/utilizing-multi-level-concepts-for-multi-phase-modeling-1me74o7f.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses multi-level modeling with context models and potency discussion; directly compares to Atkinson/Kühne approaches. No governance or regulatory application presented.","Abstract In model-based systems engineering projects, engineers from multiple domains collaborate by establishing a common system model. Multi-level modeling is a technique that can be used to model the development from abstract ideas to concrete implementations. However, current multi-level modeling approaches are not adequate for processes with multiple modeling phases that might have to be rearranged later. In this paper, we introduce multi-phase modeling that utilizes concepts of multi-level modeling by considering a description of the expected phase ordering per domain. Constraints aware of this context can express that certain elements are only valid in specific phases without having to determine a concrete phase ordering for a particular model. This enables using multi-phase modeling in flexible workflows, adapting to changing requirements and the definition of access rules in domain notation. We show feasibility of this multi-phase modeling by applying it to multiple real-life systems engineering projects of the aerospace domain. "
"Extending the Foundations of Ontology-Based Conceptual Modeling with a Multi-level Theory","https://scispace.com/paper/extending-the-foundations-of-ontology-based-conceptual-1g1vysy2x0","2015","Book Chapter","International Conference on Conceptual Modeling","Victorio Albani de Carvalho
Victorio Albani de Carvalho
João Paulo A. Almeida
Claudenir M. Fonseca
Giancarlo Guizzardi","10.1007/978-3-319-25264-3_9","https://scispace.com/pdf/extending-the-foundations-of-ontology-based-conceptual-1g1vysy2x0.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses potency‑based deep instantiation to extend ontology modeling; directly engages Atkinson/Kühne approaches. No governance domain examples or applied regulatory case studies.","Since the late 1980s, there has been a growing interest in the use of foundational ontologies to provide a sound theoretical basis for the discipline of conceptual modeling. This has led to the development of ontology-based conceptual modeling techniques whose modeling primitives reflect the conceptual categories defined in a foundational ontology. The ontology-based conceptual modeling language OntoUML, for example, incorporates the distinctions underlying the taxonomy of types in the Unified Foundational Ontology (UFO) (e.g., kinds, phases, roles, mixins etc.). This approach has focused so far on the support to types whose instances are individuals in the subject domain, with no provision for types of types (or categories of categories). In this paper we address this limitation by extending the Unified Foundational Ontology with the MLT multi-level theory. The UFO-MLT combination serves as a foundation for conceptual models that can benefit from the ontological distinctions of UFO as well as MLT’s basic concepts and patterns for multi-level modeling. We discuss the impact of the extended foundation to multi-level conceptual modeling."
"Utilizing multi-level concepts for multi-phase modeling","https://scispace.com/paper/utilizing-multi-level-concepts-for-multi-phase-modeling-2fvl1j6a","2022","Journal Article","Software and Systems Modeling","Tobias Franz
Christoph Seidl
Philipp Fischer
Andreas Gerndt","10.1007/s10270-021-00963-1","https://scispace.com/pdf/utilizing-multi-level-concepts-for-multi-phase-modeling-2fvl1j6a.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses potency, order‑alignment, and dual deep modeling to extend multi‑level metamodeling; discusses Atkinson and Kühne concepts extensively, but lacks any governance or regulatory application.","Abstract In model-based systems engineering projects, engineers from multiple domains collaborate by establishing a common system model. Multi-level modeling is a technique that can be used to model the development from abstract ideas to concrete implementations. However, current multi-level modeling approaches are not adequate for processes with multiple modeling phases that might have to be rearranged later. In this paper, we introduce multi-phase modeling that utilizes concepts of multi-level modeling by considering a description of the expected phase ordering per domain. Constraints aware of this context can express that certain elements are only valid in specific phases without having to determine a concrete phase ordering for a particular model. This enables using multi-phase modeling in flexible workflows, adapting to changing requirements and the definition of access rules in domain notation. We show feasibility of this multi-phase modeling by applying it to multiple real-life systems engineering projects of the aerospace domain. "
"Misconceptions about potency-based deep instantiation","https://scispace.com/paper/misconceptions-about-potency-based-deep-instantiation-5vcw8t7p8j5u","2024","Journal Article","","Colin Atkinson
Thomas Kühne
Arne Lange","10.1145/3652620.3688213","https://dl.acm.org/doi/pdf/10.1145/3652620.3688213","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Explores potency‑based deep instantiation in depth and authored by Atkinson and Kühne, but does not address governance, regulatory constraints, or applied case studies.",""
"Field Types for Deep Characterization in Multi-Level Modeling","https://scispace.com/paper/field-types-for-deep-characterization-in-multi-level-2g7u46btoj","2023","Proceedings Article","","Thomas Kühne
João Paulo A. Almeida
Colin Atkinson
Manfred A. Jeusfeld
Gergely Mezei","10.1109/models-c59198.2023.00105","https://www.diva-portal.org/smash/get/diva2:1801933/FULLTEXT01.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Explores deep fields and deep instantiation in MLM, builds on Atkinson/Kühne work, but offers no governance application, tool, or empirical study.","Traditional two-level modeling approaches distin-guish between class- and object features. Using UML parlance, classes have attributes which require their instances to have object slots. Multi-Level Modeling unifies classes and objects to “clabjects”, and it has been suggested that attributes and slots can and should be unified to “fields” in a similar way. The notion of deep instantiation for clabjects creates the possibility of “deep fields”, i.e., fields that expand on the roles of pure attributes or pure slots. In this paper, we discuss several variants of such a “deep field” notion, pointing out the semantic differences and the various resulting trade-offs. We hope our observations will help clarify the range of options for supporting clabject fields in multi-level modeling and thus aid future MLM development."
"By multi-layer to multi-level modeling","https://scispace.com/paper/by-multi-layer-to-multi-level-modeling-2m7c6yd2zk","2019","Proceedings Article","Model Driven Engineering Languages and Systems","Zoltan Theisz
Sándor Bácsi
Gergely Mezei
Ferenc A. Somogyi
Dániel Palatinszky","10.1109/MODELS-C.2019.00024","","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides strong multi‑level, potency‑based modeling with formal semantics; lacks governance focus, Atkinson/Kühne discussion, and tool support, only modest empirical validation.","Multi-level modeling has a well-defined and commonly agreed on aim of avoiding any kind of accidental complexity by the introduction of meta-levels. However, the actual means of achieving this goal are left to the discretion of the particular approach to decide on. Potency notion-based clabjects provide a suitable trade-off in this regard, hence other approaches tend to imitate these characteristics. Dynamic Multi-Layer Algebra (DMLA) is such an alternative formal modeling technique that has already been tested successfully against multi-level challenges such as the MULTI 2018 workshop's Bicycle Challenge. Although DMLA has proved its merit, it has still been lacking the capability of integrating object-oriented features such as inheritance into its formalism. Therefore, in this paper, we showcase one potential way of incorporating inheritance with abstract entities into DMLA without having to relinquish any of its formal precision such as self-validation or self-description. The paper both describes our technical solution and illustrates it through a model excerpt borrowed from the Bicycle Challenge."
"Multi-level Conceptual Modeling: From a Formal Theory to a Well-Founded Language","https://scispace.com/paper/multi-level-conceptual-modeling-from-a-formal-theory-to-a-11a8ffvnlu","2018","Book Chapter","International Conference on Conceptual Modeling","Claudenir M. Fonseca
João Paulo A. Almeida
Giancarlo Guizzardi
Giancarlo Guizzardi
Victorio Albani de Carvalho","10.1007/978-3-030-00847-5_29","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a formal, tool‑supported multi‑level modeling language (ML2) with potency/deep instantiation, but lacks governance focus, regulatory application, and Atkinson/Kühne discussion.","Subject domains are often conceptualized with entities stratified into a rigid two-level structure: a level of classes and a level of individuals which instantiate these classes. Multi-level modeling extends the conventional two-level classification scheme by admitting classes that are also instances of other classes, a feature which is key in a number of subject domains. Despite the advances in multi-level modeling in the last decade, a number of requirements arising from representation needs in subject domains have not yet been addressed in current modeling approaches. In this paper, we tackle this issue by proposing an expressive multi-level conceptual modeling language (dubbed ML2). We follow a principled approach in the design of ML2, constructing its abstract syntax as to reflect a formal theory for multi-level modeling (termed MLT*). We show that ML2 enables the expression of a number of multi-level modeling scenarios that cannot be currently expressed in the existing multi-level modeling languages. A textual syntax for ML2 is provided with an implementation in Xtext."
"Multi-level conceptual modeling: Theory, language and application","https://scispace.com/paper/multi-level-conceptual-modeling-theory-language-and-3doy5km82k","2021","Journal Article","Data and Knowledge Engineering","Claudenir M. Fonseca
João Paulo A. Almeida
Giancarlo Guizzardi
Giancarlo Guizzardi
Victorio Albani de Carvalho","10.1016/J.DATAK.2021.101894","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a fully axiomatized multi‑level theory (MLT*) with potency‑based deep instantiation, satisfying foundational needs. Supplies formal semantics and an Xtext‑based prototype for ML2. Demonstrates the language on Wikidata fragments, offering a modest empirical illustration though not in a governance context. Does not address regulatory domains or reference Atkinson/Kühne.","In many important subject domains, there are central real-world phenomena that span across multiple classification levels. In these subject domains, besides having the traditional type-level domain regularities (classes) that classify multiple concrete instances, we also have higher-order type-level regularities (metaclasses) that classify multiple instances that are themselves types. Multi-Level Modeling aims to address this technical challenge. Despite the advances in this area in the last decade, a number of requirements arising from representation needs in subject domains have not yet been addressed in current modeling approaches. In this paper, we address this issue by proposing an expressive multi-level conceptual modeling language (dubbed ML2). We follow a principled language engineering approach in the design of ML2, constructing its abstract syntax as to reflect a fully axiomatized theory for multi-level modeling (termed MLT*). We show that ML2 enables the expression of a number of multi-level modeling scenarios that cannot be currently expressed in the existing multi-level modeling languages. A textual syntax for ML2 is provided with an implementation in Xtext. We discuss how the formal theory influences the language in two aspects: (i) by providing rigorous justification for the language’s syntactic rules, which follow MLT* theorems and (ii) by forming the basis for model simulation and verification. We show that the language can reveal problems in multi-level taxonomic structures, using Wikidata fragments to demonstrate the language’s practical relevance."
