"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"On-Chain Verifiable Credential with Applications in Education","https://scispace.com/paper/on-chain-verifiable-credential-with-applications-in-1h8yll18o2","2024","Journal Article","ECTI Transactions on Computer and Information Technology","Nopporn Chotikakamthorn
Aye Mi San
Chanboon Sathitwiriyawong","10.37936/ecti-cit.2024183.256091","","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on Bitcoin‑based VC issuance, lacking formal models or ontologies, but provides a working prototype, performance metrics, and education use‑case.","A verifiable credential (VC) has been standardized and applied in various domains, including education. Due to its immutability, blockchain has been considered and used for credential issuance and verification. Most existing methods, however, are not compatible with the W3C VC standard. In this paper, an on-chain VC issuance and verification method has been described. The method is based on the standard VC data model and applicable to any credential type. It decomposes a VC document into a VC template and the corresponding value array(s). This allows a VC to be issued on-chain in the Bitcoin BTC network, which has a limited data embedding capacity. The proposed method reduces blockchain resource consumption due to the reusability of a VC template. In addition, it allows the use of a concise VC fingerprint format instead of a full VC for credential exchange. Two issuance modes, namely the full on-chain and partial on-chain, are proposed targeting different use cases. The proposed method has been applied for issuing and verifying two learning credential types. The method was evaluated on the Bitcoin Testnet to measure time and space complexities. With the reduced-size VC fingerprint, the proposed method can embed a VC on a traditional paper-based credential as a compact-sized QR code. The proposed method offered faster VC issuance and verification than an existing standard-based verifiable credential method. "
"Protocols for Checking Compromised Credentials","https://scispace.com/paper/http://arxiv.org/abs/1905.13737v3","2019","Preprint","","Lucy Li
Bijeeta Pal
Junade Ali
Nick Sullivan
Rahul Chatterjee
Thomas Ristenpart","","https://arxiv.org/pdf/1905.13737v3","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on password breach‑checking protocols, not on verifiable‑credential models, ontologies, or schemas; however, provides security analysis, prototype, and performance data for its protocols.","To prevent credential stuffing attacks, industry best practice now proactively checks if user credentials are present in known data breaches. Recently, some web services, such as HaveIBeenPwned (HIBP) and Google Password Checkup (GPC), have started providing APIs to check for breached passwords. We refer to such services as compromised credential checking (C3) services. We give the first formal description of C3 services, detailing different settings and operational requirements, and we give relevant threat models.
  One key security requirement is the secrecy of a user's passwords that are being checked. Current widely deployed C3 services have the user share a small prefix of a hash computed over the user's password. We provide a framework for empirically analyzing the leakage of such protocols, showing that in some contexts knowing the hash prefixes leads to a 12x increase in the efficacy of remote guessing attacks. We propose two new protocols that provide stronger protection for users' passwords, implement them, and show experimentally that they remain practical to deploy."
"Compact and Selective Disclosure for Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2506.00262v2","2025","Preprint","","Alessandro Buldini
Carlo Mazzocca
Rebecca Montanari
Selcuk Uluagac","10.1109/ACSAC67867.2025.00042","https://arxiv.org/pdf/2506.00262v2","- **Relevance Score:** 7/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides an open‑source prototype and extensive performance measurements, but lacks formal models, ontologies, schema specifications, or integrated ecosystem design.","Self-Sovereign Identity (SSI) is a novel identity model that empowers individuals with full control over their data, enabling them to choose what information to disclose, with whom, and when. This paradigm is rapidly gaining traction worldwide, supported by numerous initiatives such as the European Digital Identity (EUDI) Regulation or Singapore's National Digital Identity (NDI). For instance, by 2026, the EUDI Regulation will enable all European citizens to seamlessly access services across Europe using Verifiable Credentials (VCs). A key feature of SSI is the ability to selectively disclose only specific claims within a credential, enhancing the privacy protection of the identity owner. This paper proposes a novel mechanism designed to achieve Compact and Selective Disclosure for VCs (CSD-JWT). Our method leverages a cryptographic accumulator to encode claims within a credential into a unique, compact representation. We implemented CSD-JWT as an open-source solution and extensively evaluated its performance under various conditions. CSD-JWT provides significant memory savings, lowering usage by up to 46% compared to the state-of-the-art. It also minimizes network overhead by producing remarkably smaller Verifiable Presentations (VPs), with size reduction from 27% to 93%. Such features make CSD-JWT especially well-suited for resource-constrained devices, including hardware wallets designed for managing credentials."
"Non-Disclosing Credential On-chaining for Blockchain-based Decentralized Applications","https://scispace.com/paper/http://arxiv.org/abs/2209.09584v1","2022","Preprint","","Jonathan Heiss
Robert Muth
Frank Pallas
Stefan Tai","","https://arxiv.org/pdf/2209.09584v1","- **Relevance Score:** 7/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides zkSNARK‑based credential on‑chaining, prototype, and performance results; offers a conceptual VC model but lacks formal specifications, ontology, and schema language details.","Many service systems rely on verifiable identity-related information of their users. Manipulation and unwanted exposure of this privacy-relevant information, however, must at the same time be prevented and avoided. Peer-to-peer blockchain-based decentralization with a smart contract-based execution model and verifiable off-chain computations leveraging zero-knowledge proofs promise to provide the basis for next-generation, non-disclosing credential management solutions. In this paper, we propose a novel credential on-chaining system that ensures blockchain-based transparency while preserving pseudonymity. We present a general model compliant to the W3C verifiable credential recommendation and demonstrate how it can be applied to solve existing problems that require computational identity-related attribute verification. Our zkSNARKs-based reference implementation and evaluation show that, compared to related approaches based on, e.g., CL-signatures, our approach provides significant performance advantages and more flexible proof mechanisms, underpinning our vision of increasingly decentralized, transparent, and trustworthy service systems."
"SSI, from Specifications to Protocol? Formally Verify Security!","https://scispace.com/paper/ssi-from-specifications-to-protocol-formally-verify-security-3d1q64oj34","2024","Proceedings Article","","Christoph Braun
R. Horne
Tobias Käfer
Sjouke Mauw","10.1145/3589334.3645426","","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses formal verification to prove secrecy, authentication, unlinkability of an SSI protocol built from VC and DID specs; does not define ecosystem model, ontology, or schema language, but integrates standards into a cohesive protocol design.","We evaluate a bundle of specifications from the Self-Sovereign Identity (SSI) paradigm to construct an authentication protocol for the Web. We demonstrate how relevant standards such as W3C Verifiable Credentials (VC), W3C Decentralised Identifiers (DIDs), and components of the Hyperledger Aries Framework are to be assembled methodologically into a protocol. We make those assumptions from standard trust models explicit that underlie the derived protocol, and verify security and privacy properties, notably secrecy, authentication, and unlinkability. This enables us to formally justify the additional precision that we urge these specifications to consider, to ensure that implementors of SSI-based systems do not neglect security-critical controls."
"CRSet: Private Non-Interactive Verifiable Credential Revocation","https://scispace.com/paper/http://arxiv.org/abs/2501.17089v3","2025","Preprint","","Felix Hoops
Jonas Gebele
Florian Matthes","","https://arxiv.org/pdf/2501.17089v3","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Implements CRSet prototype on Ethereum; evaluates blob size and latency; provides informal security proof; lacks formal VC model, ontology, or schema language.","Like any digital certificate, Verifiable Credentials (VCs) require a way to revoke them in case of an error or key compromise. Existing solutions for VC revocation, most prominently Bitstring Status List, are not viable for many use cases because they may leak the issuer's activity, which in turn leaks internal business metrics. For instance, staff fluctuation through the revocation of employee IDs. We identify the protection of issuer activity as a key gap and propose a formal definition for a corresponding characteristic of a revocation mechanism. Then, we introduce CRSet, a non-interactive mechanism that trades some space efficiency to reach these privacy characteristics. For that, we provide a proof sketch. Issuers periodically encode revocation data and publish it via Ethereum blob-carrying transactions, ensuring secure and private availability. Relying Parties (RPs) can download it to perform revocation checks locally. Sticking to a non-interactive design also makes adoption easier because it requires no changes to wallet agents and exchange protocols. We also implement and empirically evaluate CRSet, finding its real-world behavior to match expectations. One Ethereum blob fits revocation data for about 170k VCs."
"Digital Product Passport Management with Decentralised Identifiers and Verifiable Credentials","https://scispace.com/paper/http://arxiv.org/abs/2410.15758v1","2024","Preprint","","Ismael Illán García
Francesc D. Muñoz-Escoí
Jordi Arjona Aroca
F. Javier Fernández-Bravo Peñuela","","https://arxiv.org/pdf/2410.15758v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on applying DIDs/VCs to product passports, without formal models, ontologies, schema specs, or integrated ecosystem design; no prototype, security, performance, or detailed case study.","Digital product passports (DPP) have been proposed in the European Ecodesign for Sustainable Products Regulation (ESPR) as a means to keep and provide product information that facilitates product reusage, reparation, and recycling. Thus, DPPs should provide a positive effect on the environmental impact of future manufactured products, preventing waste and promoting a circular economy (CE) model. ESPR settles a set of requirements in collecting and administering product-related data. Decentralised identifiers (DID) and verifiable credentials (VC) are two self-sovereign-identity-related elements that may help in that DPP management since they introduce a decentralised administration of identity that may enhance the overall scalability of the resulting system, improving also its reliability. This paper analyses the ESPR requirements and describes how they may be achieved using DIDs and VCs, assessing their performance in some scenarios."
"Ontology-Driven Modeling and Integration of Production Processes in Advanced Driver-Assistance Systems within the Gaia-X Ecosystem","https://scispace.com/paper/ontology-driven-modeling-and-integration-of-production-73gb8pa5hx0t","2025","Journal Article","","Leonid Koval
Sonja Wächter
Hüseyin Erdem
Daniel Großmann","10.1109/iccta65425.2025.11166225","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses SHACL and JSON‑LD for ontology validation and serialization, but focuses on manufacturing processes within Gaia‑X, not on verifiable‑credential ecosystems or their formal design.","Integrating semantic technologies, particularly ontologies, into production processes represents a significant advancement in achieving interoperability and efficiency in modern manufacturing. This paper systematically models production processes through ontologies tailored for assistive and autonomous driving systems. The focus lies on capturing critical parameters and process steps, structuring them into machine-readable formats to facilitate semantic interoperability and enhance process traceability.The ontology development was conducted using the Web Ontology Language (OWL) and the Protégé tool, supported by Shape Constraint Language (SHACL) for validation and JSON-LD for data serialization. The ontologies were designed to be flexible and modular, enabling their applicability beyond the modeled processes while adhering to Gaia-X guidelines for data ecosystems. The successful integration into the Gaia-X platform was achieved by creating compliant ontology files, rigorous validation, and a structured deployment process. This demonstrates a replicable framework for the semantic representation and sharing of production knowledge within collaborative environments.The results highlight the potential of ontologies for enhancing manufacturing processes and provide a foundation for their broader application in intelligent production systems. This work contributes to the growing body of research on semantic technologies in manufacturing, offering insights into scalable, standardized, and interoperable solutions for Industry 4.0 and beyond."
"Trust Me If You Can: Trusted Transformation Between (JSON) Schemas to Support Global Authentication of Education Credentials","https://scispace.com/paper/trust-me-if-you-can-trusted-transformation-between-json-tn869eyqmlmk","2022","Repository","","More, Stefan
Grassberger, Peter
Horandner Felix
Klausner, Lukas Daniel","10.48550/arxiv.2106.12793","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses JSON schema transformations for education credentials, but lacks formal VC model, ontology, integrated design, and any prototype, security, performance, or case study details.","Recruiters and institutions around the world struggle with the verification of diplomas issued in a diverse and global education setting. Firstly, it is a nontrivial problem to identify bogus institutions selling education credentials. While institutions are often accredited by qualified authorities on a regional level, there is no global authority fulfilling this task. Secondly, many different data schemas are used to encode education credentials, which represents a considerable challenge to automated processing. Consequently, significant manual effort is required to verify credentials. In this paper, we tackle these challenges by introducing a decentralized and open system to automatically verify the legitimacy of issuers and interpret credentials in unknown schemas. We do so by enabling participants to publish transformation information, which enables verifiers to transform credentials into their preferred schema. Due to the lack of a global root of trust, we utilize a distributed ledger to build a decentralized web of trust, which verifiers can query to gather information on the trustworthiness of issuing institutions and to establish trust in transformation information. Going beyond diploma fraud, our system can be generalized to tackle the generalized problem for other domains lacking a root of trust and agreements on data schemas. "
"SolidVC : a decentralized framework for Verifiable Credentials on the web","https://scispace.com/paper/solidvc-a-decentralized-framework-for-verifiable-credentials-3jmff94pd2","2019","Dissertation","","Kayode Yadilichi. Ezike","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Solid's RDF/JSON‑LD data model to store credentials, but lacks a formal mathematical model or defined ontology. Connects VC concepts with Solid architecture without tightly integrating schema, model, and ontology as a unified design.","Credentials are an integral part of our lives, as they express our capabilities and enable access to restricted services and benefits. In the early 2010s, the Verifiable Claims Working Group of the World Wide Web Consortium (W3C) proposed a specification for what is now the Verifiable Credentials Data Model. This living specification, which is still in development, outlines a cogent framework for the issuance, storage, presentation, and verification of credentials on the Web. Many of the leading Verifiable Credentials projects leverage Distributed Ledger Technology (DLT), potentially compromising Web interoperability and sometimes exposing otherwise personal data. SolidVC is a decentralized Verifiable Credentials platform built with the open protocols of the Web. It is implemented on top of Solid, a Web framework developed at MIT in 2016 that allows decentralized applications to interact with personal user data to provide services in an access controlled environment. Thesis Supervisor: Lalana Kagal Title: Principal Research Scientist"
"An Ontological Metamodel for Cyber-Physical System Safety, Security, and Resilience Coengineering","https://scispace.com/paper/an-ontological-metamodel-for-cyber-physical-system-safety-2bfcwh2ip6","2020","Journal Article","arXiv: Software Engineering","Georgios Bakirtzis
Timothy J. Sherburne
Stephen Adams
Barry M. Horowitz
Peter A. Beling
Cody Fleming","10.1007/S10270-021-00892-Z","https://scispace.com/pdf/an-ontological-metamodel-for-cyber-physical-system-safety-2bfcwh2ip6.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on CPS safety/security metamodel, lacking any verifiable‑credential formal model, ontology, schema language, or integrated VC ecosystem design.","System complexity has become ubiquitous in the design, assessment, and implementation of practical and useful cyber-physical systems. This increased complexity is impacting the management of models necessary for designing cyber-physical systems that are able to take into account a number of ``-ilities'', such that they are safe and secure and ultimately resilient to disruption of service. We propose an ontological metamodel for system design that augments an already existing industry metamodel to capture the relationships between various model elements and safety, security, and resilient considerations. Employing this metamodel leads to more cohesive and structured modeling efforts with an overall increase in scalability, usability, and unification of already existing models. In turn, this leads to a mission-oriented perspective in designing security defenses and resilience mechanisms to combat undesirable behaviors. We illustrate this metamodel in an open-source GraphQL implementation, which can interface with a number of modeling languages. We support our proposed metamodel with a detailed demonstration using an oil and gas pipeline model."
"First steps toward a Verification and Validation Ontology","https://scispace.com/paper/first-steps-toward-a-verification-and-validation-ontology-1o5w9pz7wv","2012","","","Mounira Kezadri
Marc Pantel","","https://hal.archives-ouvertes.fr/hal-02189894/document","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on V&V ontology for system modeling, not on verifiable credentials, their schemas, or integrated VC ecosystem design.","This paper presents the key elements of an ontology that formalizes part of the knowledge about behavioural modeling and the associated verification and validation technologies. It summarizes the concepts existing in this area of interest and the relationships among them. We propose a classification of different modeling formalisms and a representation of possible verification and validation methods. A system is represented using several views conforming to different modeling languages. Its properties can be assessed with verification and validation technologies. We also describe existing V&V tools and how they are related to the other elements."
"interID--An Ecosystem-agnostic Verifier-as-a-Service with OpenID Connect Bridge","https://scispace.com/paper/LAp2SN_BuuoJ","","","","H Yildiz
A Küpper","","https://arxiv.org/pdf/2602.14871","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a verifier‑as‑a‑service with OpenID Connect bridge; lacks formal models, ontologies, schema specs, or integrated ecosystem design.",""
"A language for ontology-based metamodeling systems","https://scispace.com/paper/a-language-for-ontology-based-metamodeling-systems-34qboinicj","2010","Book Chapter","Advances in Databases and Information Systems","Stéphane Jean
Yamine Ait-Ameur
Guy Pierra","10.1007/978-3-642-15576-5_20","https://scispace.com/pdf/a-language-for-ontology-based-metamodeling-systems-34qboinicj.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on generic ontology-based metamodeling for MMS, not on verifiable credentials, formal VC models, schema languages, or integrated VC ecosystem design.","Nowadays, metamodeling techniques and ontologies play a central role in many computer science problems such as data exchange, integration of heterogeneous data and models or software reuse. Yet, if many metamodeling repositories and ontology repositories have been proposed, few attempts have been made to combine their advantages into a single repository with a dedicated language. In this paper, we present the capabilities of the OntoQL language for managing the various levels of information stored in a metamodeling systems where (1) both data, models and metamodels are available and (2) semantic descriptions are provided using ontologies. Some of the main characteristics of OntoQL are: management of the metamodel level using the same operators as the ones applied to data and to model levels, semantic queries through ontologies and SQL compatibility. We report several applications where this language has been extensively and successfully used."
"Verifi-Chain: A Credentials Verifier using Blockchain and IPFS","https://scispace.com/paper/http://arxiv.org/abs/2307.05797v1","2023","Preprint","","Tasfia Rahman
Sumaiya Islam Mouno
Arunangshu Mojumder Raatul
Abul Kalam Al Azad
Nafees Mansoor","","https://arxiv.org/pdf/2307.05797v1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses blockchain and IPFS prototype for credential verification, but lacks formal models, ontologies, or schema specifications; includes a prototype and a job‑hiring use case.","Submitting fake certificates is a common problem in Southeast Asia, which prevents qualified candidates from getting the jobs they deserve. When applying for a job, students must provide academic credentials as proof of their qualifications, acquired both inside and outside the classroom. Verifying academic documents before hiring is crucial to prevent fraud. Employing blockchain technology has the potential to address this issue. Blockchain provides an electronic certificate that is tamper-proof and non-repudiable, making it difficult for students to manipulate their academic credentials. This paper presents a prototype for an academic credential verification model that leverages the security features of blockchain and IPFS (Interplanetary File System). Certificates are temporarily stored in a database before being transferred to IPFS, where a unique hash code is generated using a hashing algorithm. This hash code serves as the certificate's unique identity and is stored in the blockchain nodes. Companies can verify an applicant's credentials by searching for the applicant and accessing their already verified certificates. Utilizing IPFS as a middleman storage platform lowers the expenses of directly storing massive data on the blockchain. To sum it up, the proposed solution would make the process of certificate verification more efficient, secure, and cost-effective. It would save time and resources that would otherwise be used to manually verify certificates."
"A Metamodel Proposal for Developing Learning Ecosystems","https://scispace.com/paper/a-metamodel-proposal-for-developing-learning-ecosystems-58mh74yhdf","2017","Book Chapter","International Conference on Learning and Collaboration Technologies","Alicia García-Holgado
Francisco José García-Peñalvo","10.1007/978-3-319-58509-3_10","https://scispace.com/pdf/a-metamodel-proposal-for-developing-learning-ecosystems-58mh74yhdf.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a learning ecosystem metamodel, not on verifiable credentials, schema languages, or integrated VC ecosystem design.","The definition and development of learning ecosystems is a complex process with a wide range of requirements. Although two different institutions or companies share the same problems and goals regarding their learning and training processes, the learning ecosystems to support them are different. The components of the ecosystem, including the human factor as a key element, and the relationships between them, change over time. In other words, learning ecosystems evolve as natural ecosystems; there are many factors, both internal and external, that influence an entity. The authors have defined and developed different learning ecosystems. Moreover, they have transferred the same learning ecosystem, specifically a learning ecosystem for knowledge management in a PhD Program, to different domains. These experiences have provided the required information to define the ecosystems metamodel following the Model Driven Architecture proposed by the Object Management Group. The aim of this metamodel is define a Domain Specification Language to develop learning ecosystems."
"Automated Software Systems Generation for Process-oriented Organizations","https://scispace.com/paper/automated-software-systems-generation-for-process-oriented-1hfj98qtr7","2014","","","Escola de Engenharia","","https://scispace.com/pdf/automated-software-systems-generation-for-process-oriented-1hfj98qtr7.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on model‑driven software generation, ontologies, and MDE for business processes; does not address verifiable credentials, their formal models, schemas, or ecosystem integration.",""
