"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Interoperable Architecture for Digital Identity Delegation for AI Agents with Blockchain Integration","https://scispace.com/paper/tgM6fbYF55cJ","","","","DR Saavedra Martínez","","https://repositorio.uniandes.edu.co/bitstreams/a203b40c-f97b-4dc3-974f-ef3b9defc810/download","… that separates trust anchoring, credential/proof validation, … of users, traditional identity infrastructures reveal a critical limitation: they … These systems formalize how identity attributes are …",""
"Credura: A Permissioned Blockchain Framework for Tamper-Proof Academic Credential Verification","https://scispace.com/paper/-UesQ3L1zFoJ","","","","V Eklaspur
S Deokar
D Patil","","","… exhibit fundamental limitations that restrict … validation demonstrating 0.092second credential issuance latency. 4) Mathematical formalization of the cryptographic integrity verification …",""
"Credential transparency system","https://scispace.com/paper/credential-transparency-system-1l8hnfi9","2022","Book Chapter","International Conference on Security and Cryptography for Networks","Melissa Chase
Georg Fuchsbauer
Esha Ghosh
Antoine Plouviez","10.1007/978-3-031-14791-3_14","","… formalize a credential transparency system (CTS) framework that adds strong transparency guarantees to a credential … severe usability limitations. For example, it is difficult to port these …","AbstractA major component of the entire digital identity ecosystem are verifiable credentials. However, for users to have complete control and privacy of their digital credentials, they need to be able to store and manage these credentials and associated cryptographic key material on their devices. This approach has severe usability challenges including portability across devises. A more practical solution is for the users to trust a more reliable and available service to manage credentials on their behalf, such as in the case of Single Sign-On (SSO) systems and identity hubs. But the obvious downside of this design is the immense trust that the users need to place on these service providers.In this work, we introduce and formalize a credential transparency system (CTS) framework that adds strong transparency guarantees to a credential management system while preserving privacy and usability features of the system. CTS ensures that if a service provider presents any credential to an honest verifier on behalf of a user, and the user’s device tries to audit all the shows presented on the user’s behalf, the service provider will not be able to drop or modify any show information without getting caught. We define CTS to be a general framework that is compatible with a wide range of credential management systems including SSO and anonymous credential systems. We also provide a CTS instantiation and prove its security formally.KeywordsCredential transparencySSOanonymous credentialszero-knowledge setsaccumulatorszero-knowledge proofs "
"A FORMAL ARCHITECTURE FOR PRIVACY-PRESERVING CREDENTIAL VERIFICATION USING BLOCKCHAIN AND ZERO-KNOWLEDGE PROOFS","https://scispace.com/paper/a-formal-architecture-for-privacy-preserving-credential-fjhggf6nrn2u","2025","Journal Article","International Journal of Apllied Mathematics","Kadhim Abdulfadhil Gatea","10.12732/ijam.v38i7s.654","https://ijamjournal.org/ijam/publication/index.php/ijam/article/download/654/603","… these platforms reveals a fundamental limitation pervading first-… -anchored credential hashes, verification protocols still … managing the credential lifecycle processes formalized in Section …","This paper addresses the challenge of designing secure and private digital credentialing systems by leveraging advanced mathematical primitives from applied cryptography. The core of our proposed solution is the application of Zero-Knowledge Proofs (ZKPs), a class of cryptographic protocols that allows for the verification of assertions without disclosing the underlying secret data. We introduce a formal, layered architecture that demonstrates how the mathematical properties of ZKPs can be systematically translated into a robust, large-scale information system. The framework's design is validated against the complex requirements of the academic domain, which serves as a rigorous testbed for our architectural approach. The primary contribution is a blueprint for integrating complex cryptographic protocols into practical system design, demonstrating how mathematical guarantees of privacy can be preserved in a distributed and verifiable manner. This work provides a novel contribution at the intersection of applied cryptography, system architecture, and information security. "
"Authentication and Authorization Mechanisms in Secure Systems: Their Impact on Information Assurance and Access Control","https://scispace.com/paper/LfHmt8nQRdMJ","","","","A Chaisiri
K Boonmee","","https://sciencequill.com/index.php/TESRTCA/article/download/2024-06-04/13","… involving compromised authentication credentials exceeds … The mathematical formalization of authentication security … latency constraints and communication overhead limitations that …",""
"Establishing Workload Identity for Zero Trust CI/CD: From Secrets to SPIFFE-Based Authentication","https://scispace.com/paper/establishing-workload-identity-for-zero-trust-ci-cd-from-ovx67ga2h0ii","2025","Journal Article","arXiv.org","Surya Teja Avirneni","10.48550/arxiv.2504.14760","https://arxiv.org/pdf/2504.14760","… This paper describes the shift from static credentials to OpenID … The limitations of current authentication models become … These drafts formalize trust bundle exchange and claims-based …",""
"A multi-layer trust framework for self sovereign identity on blockchain","https://scispace.com/paper/a-multi-layer-trust-framework-for-self-sovereign-identity-on-bn2qwyv9gu","2023","Journal Article","","Andrea De Salve
Damiano Di Francesco Maesa
Paolo Mori
Laura Ricci
Alessandro Puccia","10.1016/j.osnem.2023.100265","","… and verify credentials. Instead, this paper focuses on the understanding of the role of trust in SSI and it provides new insight into the trust … paradigm suffers from trust issues between the …","The recent interest for decentralised systems and decentralisation of the control over users’ data brings a shift in the way identities and their information are managed. Self Sovereign Identity (SSI) has been proposed as the next generation paradigm for decentralised identity management. Research on SSI is getting more and more traction, focusing mainly on the management of users’ identifiers and on providing a standard way to express and verify credentials. Instead, this paper focuses on the understanding of the role of trust in SSI and it provides new insight into the trust relationships existing between the different SSI actors. Indeed, the analysis of such roles and the relationships existing between SSI actors reveals that the current paradigm suffers from trust issues between the verifier and the issuer of a verifiable credential. In order to cope this problem, the paper proposes a new multi-layer framework that exploits trust relationships defined by the actors of the SSI standards (verifiers and issuers of verifiable credentials). An implementation of the framework through Solidity smart contracts has been proposed and deployed on both private and public blockchain networks in order to assess its capabilities. In addition, a dataset related to the spread of spam reviews has been exploited to test the benefits and performance of the proposed framework, demonstrating that it is able to improve the reliability of the SSI paradigm in real-world scenario. "
"Self-sovereign identity in a globalized world: Credentials-based identity systems as a driver for economic inclusion","https://scispace.com/paper/self-sovereign-identity-in-a-globalized-world-credentials-584gnvrv6m","2020","Journal Article","","Fennie Wang
Primavera De Filippi
Primavera De Filippi","10.3389/FBLOC.2019.00028","https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2019.00028/pdf","… in the field of digital identity, this paper will investigate the benefits and drawbacks of existing identity systems on the road toward achieving self-sovereign identity. It will explore, in …","After introducing key concepts and definitions in the field of digital identity, this paper will investigate the benefits and drawbacks of existing identity systems on the road toward achieving self-sovereign identity. It will explore, in particular, the use of blockchain technology and biometrics as a means to ensure the ""unicity"" and ""singularity"" of identities, and the associated challenges pertaining to the security and confidentiality of personal information. The paper will then describe an alternative approach to self-sovereign identity based on a system of blockchain-based attestations, claims, credentials, and permissions, which are globally portable across the life of an individual. While not dependent on any particular government or organization for administration or legitimacy, credentials and attestations might nonetheless include government-issued identification and biometrics as one of many indicia of identity. Such a solution-based on a recorded and signed digital history of attributes and activities-best approximates the fluidity and granularity of identity, enabling individuals to express only specific facets of their identity, depending on the parties with whom they wish to interact. To illustrate the difficulties inherent in the implementation of a self-sovereign identity system in the real world, the paper will focus on two blockchain-based identity solutions as case studies: (1) Kiva's identity protocol for building credit history in Sierra Leone, and (2) World Food Programme's Building Blocks program for delivering cash aid to refugees in Jordan. Finally, the paper will explore how the combination of blockchain-based cryptocurrencies and self-sovereign identity may contribute to promoting greater economic inclusion. With digital transactions functioning as identity claims within an ecosystem based on self-sovereign identity, new business models might emerge, such as identity insurance schemes, along with the emergence of value-stable cryptocurrencies (""stablecoins"") functioning as local currencies."
"Towards a standardized model for privacy-preserving verifiable credentials","https://scispace.com/paper/towards-a-standardized-model-for-privacy-preserving-pyi8iztqfl","2021","Proceedings Article","Availability, Reliability and Security","Jesús García-Rodríguez
Rafael Torres Moreno
Jorge Bernal Bernabe
Antonio F. Skarmeta","10.1145/3465481.3469204","https://dl.acm.org/doi/pdf/10.1145/3465481.3469204","… This system is not a novel idea, but a formalization of the natural entities and processes for … Subfigure b illustrates how we use the required keyword to apply the restrictions on the value …","Lack of standardization and the subsequent difficulty of integration has been one of the main reasons for the scarce adoption of privacy-preserving Attribute-Based Credentials (p-ABC). Integration with the W3C’s Verifiable Credentials (VC) specification would help by encouraging homogenization between different p-ABC schemes and bringing them all closer to other digital credentials. What is more, p-ABCs can help to solve privacy issues that have been identified in applications of VCs to use cases like vaccination passports. However, there has not been much work focusing on the collaboration between p-ABCs and VCs. We address this topic by establishing initial steps for extra standardization of elements that will help with the integration of p-ABCs into the standard. Namely, we propose a data model for predicates, which are a staple of p-ABC systems, and tools and guidelines to ease the adaptation process like a validation meta-schema. These ideas have been applied in a proof-of-concept implementation of the OLYMPUS distributed p-ABC scheme paired with serialization following the VC data model."
"Formal verification of the W3C web authentication protocol","https://scispace.com/paper/formal-verification-of-the-w3c-web-authentication-protocol-q89zwsdkah","2018","Proceedings Article","","Iness Ben Guirat
Harry Halpin","10.1145/3190619.3190640","https://dl.acm.org/doi/pdf/10.1145/3190619.3190640","… ploration is always within the constraints of the formalism used, … and registration phases, and how we formalize privacy in … with the credential public key to the server (checking origin, …","The science of security can be set on firm foundations via the formal verification of protocols. New protocols can have their design validated in a mechanized manner for security flaws, allowing protocol designs to be scientifically compared in a neutral manner. Given that these techniques have discovered critical flaws in protocols such as TLS 1.2 and are now being used to re-design protocols such as TLS 1.3, we demonstrate how formal verification can be used to analyze new protocols such as the W3C Web Authentication API. We model W3C Web Authentication with the formal verification language ProVerif, showing that the protocol itself is secure. However, we also stretch the boundaries of formal verification by trying to verify the privacy properties of W3C Web Authentication given in terms of the same origin policy. We use ProVerif to show that without further mandatory requirements in the specification, the claimed privacy properties do not hold. Next steps on how formal verification can be further integrated into standards and the further development of the privacy properties of W3C Web Authentication is outlined."
